epoch,train_loss,val_loss,train_acc,val_acc
1,1.4551450909932455,1.1417658729553222,0.47085,0.5935833333333334
2,1.0040682995478312,1.0296143565177918,0.6447083333333333,0.6326944444444444
3,0.8892757585525513,0.9605714075697793,0.68755,0.6641111111111111
4,0.8297477688471476,0.8830853550169203,0.707725,0.6850555555555555
5,0.7935378877321879,0.8711431231763628,0.7198166666666667,0.6888888888888889
6,0.7684946950912476,0.8754866588115692,0.7284,0.6960277777777778
7,0.7510395847002665,0.8532200728257497,0.7343166666666666,0.69775
8,0.7354455473264059,0.843850548002455,0.739875,0.7048611111111112
9,0.7239987122853597,0.8138668242295584,0.743875,0.70725
10,0.7151024775505066,0.8147973544862536,0.7474166666666666,0.7105555555555556
11,0.7049422128677368,0.8286028891536925,0.7498083333333333,0.7052222222222222
12,0.6971186661243439,0.8166622323460049,0.7522833333333333,0.7117222222222223
13,0.689441490650177,0.8040340212715996,0.7557,0.7158333333333333
14,0.685505114364624,0.8158308933575948,0.7555,0.71425
15,0.679752103360494,0.7979763900703855,0.75865,0.7174166666666667
16,0.6726455939292908,0.8000035331249237,0.760975,0.7180277777777778
17,0.6712268606821696,0.8168517323070102,0.76135,0.7133611111111111
18,0.6648098007837931,0.7941786628829108,0.7645166666666666,0.7197222222222223
19,0.6609430575052897,0.7965446076128218,0.7650916666666666,0.7194722222222222
20,0.657501462841034,0.8020758473608229,0.7673333333333333,0.7210555555555556
21,0.6525837381362916,0.8048941944705116,0.7686666666666667,0.7173055555555555
22,0.6502583608627319,0.8146040269533793,0.7701,0.7114444444444444
23,0.6476347579956054,0.7925702281528049,0.771125,0.7204166666666667
24,0.6440819011688232,0.829266031715605,0.7716666666666666,0.7107777777777777
25,0.6395083944002787,0.8539004709720611,0.7723833333333333,0.7058611111111112
